lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,2 Corinthians,2CO,7,15,"And his affection is more abundantly toward you, while he remembereth the obedience of you all, how with fear and trembling ye received him."
eng,ASV,2 Corinthians,2CO,7,16,I rejoice that in everything I am of good courage concerning you.
eng,ASV,2 Corinthians,2CO,8,1,"Moreover, brethren, we make known to you the grace of God which hath been given in the churches of Macedonia;"
eng,ASV,2 Corinthians,2CO,8,2,how that in much proof of affliction the abundance of their joy and their deep poverty abounded unto the riches of their liberality.
eng,ASV,2 Corinthians,2CO,8,3,"For according to their power, I bear witness, yea and beyond their power, they gave of their own accord,"
eng,ASV,2 Corinthians,2CO,8,4,beseeching us with much entreaty in regard of this grace and the fellowship in the ministering to the saints:
eng,ASV,2 Corinthians,2CO,8,5,"and this, not as we had hoped, but first they gave their own selves to the Lord, and to us through the will of God."
eng,ASV,2 Corinthians,2CO,8,6,"Insomuch that we exhorted Titus, that as he had made a beginning before, so he would also complete in you this grace also."
eng,ASV,2 Corinthians,2CO,8,7,"But as ye abound in everything, in faith, and utterance, and knowledge, and in all earnestness, and in your love to us, see that ye abound in this grace also."
eng,ASV,2 Corinthians,2CO,8,8,"I speak not by way of commandment, but as proving through the earnestness of others the sincerity also of your love."
eng,ASV,2 Corinthians,2CO,8,9,"For ye know the grace of our Lord Jesus Christ, that, though he was rich, yet for your sakes he became poor, that ye through his poverty might become rich."
eng,ASV,2 Corinthians,2CO,8,10,"And herein I give my judgment: for this is expedient for you, who were the first to make a beginning a year ago, not only to do, but also to will."
eng,ASV,2 Corinthians,2CO,8,11,"But now complete the doing also; that as there was the readiness to will, so there may be the completion also out of your ability."
eng,ASV,2 Corinthians,2CO,8,12,"For if the readiness is there, it is acceptable according as a man hath, not according as he hath not."
eng,ASV,2 Corinthians,2CO,8,13,For I say not this that others may be eased and ye distressed;
eng,ASV,2 Corinthians,2CO,8,14,"but by equality: your abundance being a supply at this present time for their want, that their abundance also may become a supply for your want; that there may be equality:"
eng,ASV,2 Corinthians,2CO,8,15,"as it is written, He that gathered much had nothing over; and he that gathered little had no lack. "
eng,ASV,2 Corinthians,2CO,8,16,"But thanks be to God, who putteth the same earnest care for you into the heart of Titus."
eng,ASV,2 Corinthians,2CO,8,17,"For he accepted indeed our exhortation; but being himself very earnest, he went forth unto you of his own accord."
eng,ASV,2 Corinthians,2CO,8,18,And we have sent together with him the brother whose praise in the gospel is spread through all the churches;
eng,ASV,2 Corinthians,2CO,8,19,"and not only so, but who was also appointed by the churches to travel with us in the matter of this grace, which is ministered by us to the glory of the Lord, and to show our readiness:"
eng,ASV,2 Corinthians,2CO,8,20,"avoiding this, that any man should blame us in the matter of this bounty which is ministered by us:"
eng,ASV,2 Corinthians,2CO,8,21,"for we take thought for things honorable, not only in the sight of the Lord, but also in the sight of men."
eng,ASV,2 Corinthians,2CO,8,22,"And we have sent with them our brother, whom we have many times proved earnest in many things, but now much more earnest, by reason of the great confidence which he hath in you."
eng,ASV,2 Corinthians,2CO,8,23,"Whether any inquire about Titus, he is my partner and my fellow-worker to you-ward; or our brethren, they are the messengers of the churches, they are the glory of Christ."
eng,ASV,2 Corinthians,2CO,8,24,"Show ye therefore unto them in the face of the churches the proof of your love, and of our glorying on your behalf."
eng,ASV,2 Corinthians,2CO,9,1,"For as touching the ministering to the saints, it is superfluous for me to write to you:"
eng,ASV,2 Corinthians,2CO,9,2,"for I know your readiness, of which I glory on your behalf to them of Macedonia, that Achaia hath been prepared for a year past; and your zeal hath stirred up very many of them."
eng,ASV,2 Corinthians,2CO,9,3,"But I have sent the brethren, that our glorying on your behalf may not be made void in this respect; that, even as I said, ye may be prepared:"
eng,ASV,2 Corinthians,2CO,9,4,"lest by any means, if there come with me any of Macedonia and find you unprepared, we (that we say not, ye) should be put to shame in this confidence."
eng,ASV,2 Corinthians,2CO,9,5,"I thought it necessary therefore to entreat the brethren, that they would go before unto you, and make up beforehand your aforepromised bounty, that the same might be ready as a matter of bounty, and not of extortion. "
eng,ASV,2 Corinthians,2CO,9,6,"But this I say, He that soweth sparingly shall reap also sparingly; and he that soweth bountifully shall reap also bountifully."
eng,ASV,2 Corinthians,2CO,9,7,"Let each man do according as he hath purposed in his heart: not grudgingly, or of necessity: for God loveth a cheerful giver."
eng,ASV,2 Corinthians,2CO,9,8,"And God is able to make all grace abound unto you; that ye, having always all sufficiency in everything, may abound unto every good work:"
eng,ASV,2 Corinthians,2CO,9,9,"as it is written, He hath scattered abroad, he hath given to the poor; His righteousness abideth for ever. "
eng,ASV,2 Corinthians,2CO,9,10,"And he that supplieth seed to the sower and bread for food, shall supply and multiply your seed for sowing, and increase the fruits of your righteousness:"
eng,ASV,2 Corinthians,2CO,9,11,"ye being enriched in everything unto all liberality, which worketh through us thanksgiving to God."
eng,ASV,2 Corinthians,2CO,9,12,"For the ministration of this service not only filleth up the measure of the wants of the saints, but aboundeth also through many thanksgivings unto God;"
eng,ASV,2 Corinthians,2CO,9,13,"seeing that through the proving of you by this ministration they glorify God for the obedience of your confession unto the gospel of Christ, and for the liberality of your contribution unto them and unto all;"
eng,ASV,2 Corinthians,2CO,9,14,"while they themselves also, with supplication on your behalf, long after you by reason of the exceeding grace of God in you."
eng,ASV,2 Corinthians,2CO,9,15,Thanks be to God for his unspeakable gift.
eng,ASV,2 Corinthians,2CO,10,1,"Now I Paul myself entreat you by the meekness and gentleness of Christ, I who in your presence am lowly among you, but being absent am of good courage toward you:"
eng,ASV,2 Corinthians,2CO,10,2,"yea, I beseech you, that I may not when present show courage with the confidence wherewith I count to be bold against some, who count of us as if we walked according to the flesh."
eng,ASV,2 Corinthians,2CO,10,3,"For though we walk in the flesh, we do not war according to the flesh"
eng,ASV,2 Corinthians,2CO,10,4,"(for the weapons of our warfare are not of the flesh, but mighty before God to the casting down of strongholds);"
eng,ASV,2 Corinthians,2CO,10,5,"casting down imaginations, and every high thing that is exalted against the knowledge of God, and bringing every thought into captivity to the obedience of Christ;"
eng,ASV,2 Corinthians,2CO,10,6,"and being in readiness to avenge all disobedience, when your obedience shall be made full."
eng,ASV,2 Corinthians,2CO,10,7,"Ye look at the things that are before your face. If any man trusteth in himself that he is Christ’s, let him consider this again with himself, that, even as he is Christ’s, so also are we."
eng,ASV,2 Corinthians,2CO,10,8,"For though I should glory somewhat abundantly concerning our authority (which the Lord gave for building you up, and not for casting you down), I shall not be put to shame:"
eng,ASV,2 Corinthians,2CO,10,9,that I may not seem as if I would terrify you by my letters.
eng,ASV,2 Corinthians,2CO,10,10,"For, His letters, they say, are weighty and strong; but his bodily presence is weak, and his speech of no account."
eng,ASV,2 Corinthians,2CO,10,11,"Let such a one reckon this, that, what we are in word by letters when we are absent, such are we also in deed when we are present."
eng,ASV,2 Corinthians,2CO,10,12,"For we are not bold to number or compare ourselves with certain of them that commend themselves: but they themselves, measuring themselves by themselves, and comparing themselves with themselves, are without understanding."
eng,ASV,2 Corinthians,2CO,10,13,"But we will not glory beyond our measure, but according to the measure of the province which God apportioned to us as a measure, to reach even unto you."
eng,ASV,2 Corinthians,2CO,10,14,"For we stretch not ourselves overmuch, as though we reached not unto you: for we came even as far as unto you in the gospel of Christ:"
eng,ASV,2 Corinthians,2CO,10,15,"not glorying beyond our measure, that is, in other men’s labors; but having hope that, as your faith groweth, we shall be magnified in you according to our province unto further abundance,"
eng,ASV,2 Corinthians,2CO,10,16,"so as to preach the gospel even unto the parts beyond you, and not to glory in another’s province in regard of things ready to our hand."
eng,ASV,2 Corinthians,2CO,10,17,"But he that glorieth, let him glory in the Lord."
eng,ASV,2 Corinthians,2CO,10,18,"For not he that commendeth himself is approved, but whom the Lord commendeth."
eng,ASV,2 Corinthians,2CO,11,1,Would that ye could bear with me in a little foolishness: but indeed ye do bear with me.
eng,ASV,2 Corinthians,2CO,11,2,"For I am jealous over you with a godly jealousy: for I espoused you to one husband, that I might present you as a pure virgin to Christ."
eng,ASV,2 Corinthians,2CO,11,3,"But I fear, lest by any means, as the serpent beguiled Eve in his craftiness, your minds should be corrupted from the simplicity and the purity that is toward Christ."
eng,ASV,2 Corinthians,2CO,11,4,"For if he that cometh preacheth another Jesus, whom we did not preach, or if ye receive a different spirit, which ye did not receive, or a different gospel, which ye did not accept, ye do well to bear with him."
eng,ASV,2 Corinthians,2CO,11,5,For I reckon that I am not a whit behind the very chiefest apostles.
eng,ASV,2 Corinthians,2CO,11,6,"But though I be rude in speech, yet am I not in knowledge; nay, in every way have we made this manifest unto you in all things."
eng,ASV,2 Corinthians,2CO,11,7,"Or did I commit a sin in abasing myself that ye might be exalted, because I preached to you the gospel of God for nought?"
eng,ASV,2 Corinthians,2CO,11,8,"I robbed other churches, taking wages of them that I might minister unto you;"
eng,ASV,2 Corinthians,2CO,11,9,"and when I was present with you and was in want, I was not a burden on any man; for the brethren, when they came from Macedonia, supplied the measure of my want; and in everything I kept myself from being burdensome unto you, and so will I keep myself."
eng,ASV,2 Corinthians,2CO,11,10,"As the truth of Christ is in me, no man shall stop me of this glorying in the regions of Achaia."
eng,ASV,2 Corinthians,2CO,11,11,Wherefore? because I love you not? God knoweth.
eng,ASV,2 Corinthians,2CO,11,12,"But what I do, that I will do, that I may cut off occasion from them that desire an occasion; that wherein they glory, they may be found even as we."
eng,ASV,2 Corinthians,2CO,11,13,"For such men are false apostles, deceitful workers, fashioning themselves into apostles of Christ."
eng,ASV,2 Corinthians,2CO,11,14,And no marvel; for even Satan fashioneth himself into an angel of light.
eng,ASV,2 Corinthians,2CO,11,15,It is no great thing therefore if his ministers also fashion themselves as ministers of righteousness; whose end shall be according to their works. 
eng,ASV,2 Corinthians,2CO,11,16,"I say again, Let no man think me foolish; but if ye do, yet as foolish receive me, that I also may glory a little."
eng,ASV,2 Corinthians,2CO,11,17,"That which I speak, I speak not after the Lord, but as in foolishness, in this confidence of glorying."
eng,ASV,2 Corinthians,2CO,11,18,"Seeing that many glory after the flesh, I will glory also."
eng,ASV,2 Corinthians,2CO,11,19,"For ye bear with the foolish gladly, being wise yourselves."
eng,ASV,2 Corinthians,2CO,11,20,"For ye bear with a man, if he bringeth you into bondage, if he devoureth you, if he taketh you captive, if he exalteth himself, if he smiteth you on the face."
eng,ASV,2 Corinthians,2CO,11,21,"I speak by way of disparagement, as though we had been weak. Yet whereinsoever any is bold (I speak in foolishness), I am bold also."
